Country Name,Country ISO-3 Code,"Physicians per 1,000 People",Air Pollution,Secondary School Enrollment,Disease Mortality,Traffic Deaths,Region,"Physicians per 1,000 People_Norm",Air Pollution_Norm,Secondary School Enrollment_Norm,Disease Mortality_Norm,Traffic Deaths_Norm
Maldives,MDV,0.03,22.09,29.42,21.42,1.8,Other,0.004264392324093816,0.7998099085184744,0.2948808206778638,0.744858109867222,0.9590909090909091
"Middle East, North Africa, Afghanistan & Pakistan",MEA,0.58,45.32,22.33,35.85,17.94,Other,0.12153518123667376,0.5238208387786623,0.223574373931409,0.5570164019786514,0.5922727272727273
Mexico,MEX,1.0,32.3,47.1,17.9,14.2,Other,0.21108742004264391,0.678507781870025,0.47269435783968616,0.7906795105441292,0.6772727272727272
Marshall Islands,MHL,0.42,11.24,58.57,30.8,5.7,Other,0.08742004264392322,0.9287156944279434,0.5880518958060947,0.6227544910179641,0.8704545454545455
Middle income,MIC,0.99,46.06,52.56,33.79,19.22,Other,0.208955223880597,0.5150291077581086,0.5276073619631901,0.5838323353293413,0.5631818181818182
North Macedonia,MKD,0.89,42.84,78.93,3.09,8.2,Other,0.18763326226012791,0.5532850184151122,0.7928190686915418,0.9834678469148659,0.8136363636363637
Mali,MLI,0.01,65.84,3.58,70.87,25.6,Other,0.0,0.2800285137222288,0.03499949713366187,0.10114553501692258,0.4181818181818181
Malta,MLT,0.89,18.06,51.57,8.04,4.6,Other,0.18763326226012791,0.8476892004277059,0.517650608468269,0.9190315022129654,0.8954545454545455
Myanmar,MMR,0.06,41.65,29.67,43.78,20.9,Other,0.01066098081023454,0.5674230723535703,0.29739515236850045,0.4537880760218693,0.525
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,0.52,45.44,21.35,37.02,18.06,Other,0.10874200426439232,0.5223951526672211,0.21371819370411343,0.5417859932309295,0.5895454545454546
Montenegro,MNE,1.8,30.45,90.05,2.98,14.2,Other,0.38166311300639655,0.7004871094214091,0.904656542291059,0.9848997656860192,0.6772727272727272
Mongolia,MNG,0.91,19.91,78.89,16.36,15.9,Other,0.19189765458422173,0.8257098728763217,0.79241677562104,0.810726373340276,0.6386363636363637
Northern Mariana Islands,MNP,0.44,9.54,46.3,30.8,18.95,Other,0.09168443496801705,0.9489129143400261,0.46464849642964895,0.6227544910179641,0.5693181818181818
Mozambique,MOZ,0.04,19.65,6.55,69.04,34.0,Other,0.006396588486140724,0.8287988594511109,0.06486975761842502,0.12496745639156459,0.2272727272727273
Mauritania,MRT,0.02,78.56,13.53,65.16,26.1,Other,0.0021321961620469083,0.12890578590946888,0.13506989842099967,0.1754751366831555,0.40681818181818175
Mauritius,MUS,0.22,8.74,42.17,7.94,16.1,Other,0.04477611940298507,0.9584174884163004,0.4231117369003319,0.9203332465503775,0.634090909090909
Malawi,MWI,0.03,21.72,27.12,73.83,31.2,Other,0.004264392324093816,0.8042057740287514,0.2717489691240068,0.0626139026295236,0.2909090909090909
Malaysia,MYS,0.14,31.53,37.12,15.4,26.8,Other,0.027718550106609806,0.6876559344184389,0.3723222367494719,0.8232231189794325,0.3909090909090909
Namibia,NAM,0.23,20.07,31.6,60.21,22.5,Other,0.04690831556503198,0.8238089580610669,0.3168057930202152,0.23991148138505602,0.48863636363636365
New Caledonia,NCL,0.65,29.93,46.3,30.8,18.95,Other,0.13646055437100213,0.7066650825709873,0.46464849642964895,0.6227544910179641,0.5693181818181818
Niger,NER,0.01,81.72,1.4,77.37,28.4,Other,0.0,0.09136271830818576,0.013074524791310467,0.016532153085134005,0.3545454545454546
Nigeria,NGA,0.02,65.04,46.3,73.62,29.2,Other,0.0021321961620469083,0.28953308779850295,0.46464849642964895,0.06534756573808898,0.3363636363636364
Nicaragua,NIC,0.34,24.94,11.81,23.99,16.3,Other,0.07036247334754797,0.7659498633717476,0.11777129638941969,0.7114032803957303,0.6295454545454545
Netherlands,NLD,1.1,22.71,69.14,7.14,7.5,Other,0.232409381663113,0.792443863609362,0.6943578396862115,0.9307472012496746,0.8295454545454546
Norway,NOR,1.2,12.06,80.77,7.42,8.0,Other,0.25373134328358204,0.9189735059997624,0.8113245499346273,0.9271023171049206,0.8181818181818181
Nepal,NPL,0.01,58.06,44.29,57.94,15.5,Other,0.0,0.3724604966139955,0.4444332696369305,0.2694610778443115,0.6477272727272727
Nauru,NRU,1.55,5.65,48.65,30.8,18.95,Other,0.3283582089552239,0.9951289057859095,0.48828321432163324,0.6227544910179641,0.5693181818181818
New Zealand,NZL,1.1,7.15,80.5,2.74,12.3,Other,0.232409381663113,0.9773078293928953,0.8086090717087399,0.9880239520958084,0.7204545454545455
Oman,OMN,0.03,47.66,3.58,13.21,22.4,Other,0.004264392324093816,0.4960199596055602,0.03499949713366187,0.8517313199687582,0.49090909090909096
Other small states,OSS,1.32,20.51,33.65,30.07,17.62,Other,0.279317697228145,0.818581442319116,0.3374233128834355,0.6322572246810727,0.5995454545454546
Pakistan,PAK,0.18,60.32,30.51,48.21,14.0,Other,0.03624733475479743,0.3456100748485209,0.3058433068490395,0.39612080187451193,0.6818181818181819
Panama,PAN,0.36,18.59,57.08,18.78,15.4,Other,0.07462686567164178,0.8413924201021742,0.5730664789299004,0.7792241603749024,0.6499999999999999
